CHAMP;SEXE;ANNEE_1962_2019;AGE_ATTEINT_R;DECES
FE;E;1997;D98;3215
FE;E;1997;D99;2197
FE;E;1997;D100;4141
FE;E;1998;DEC;543409
FE;E;1998;D0;3179
FE;E;1998;D1;631
FE;E;1998;D2;271
FE;E;1998;D3;150
FE;E;1998;D4;129
FE;E;1998;D5;125
FE;E;1998;D6;120
FE;E;1998;D7;97
FE;E;1998;D8;114
FE;E;1998;D9;107
FE;E;1998;D10;96
FE;E;1998;D11;93
FE;E;1998;D12;113
FE;E;1998;D13;131
FE;E;1998;D14;158
FE;E;1998;D15;180
FE;E;1998;D16;270
FE;E;1998;D17;342
FE;E;1998;D18;471
FE;E;1998;D19;529
FE;E;1998;D20;538
FE;E;1998;D21;606
FE;E;1998;D22;605
FE;E;1998;D23;626
FE;E;1998;D24;616
FE;E;1998;D25;682
FE;E;1998;D26;726
FE;E;1998;D27;709
FE;E;1998;D28;719
FE;E;1998;D29;713
FE;E;1998;D30;764
FE;E;1998;D31;803
FE;E;1998;D32;859
FE;E;1998;D33;905
FE;E;1998;D34;963
FE;E;1998;D35;1066
FE;E;1998;D36;1119
FE;E;1998;D37;1199
FE;E;1998;D38;1366
FE;E;1998;D39;1529
FE;E;1998;D40;1479
FE;E;1998;D41;1721
FE;E;1998;D42;1859
FE;E;1998;D43;2135
FE;E;1998;D44;2227
FE;E;1998;D45;2384
FE;E;1998;D46;2609
FE;E;1998;D47;2837
FE;E;1998;D48;3109
FE;E;1998;D49;3242
FE;E;1998;D50;3563
FE;E;1998;D51;3756
FE;E;1998;D52;3923
FE;E;1998;D53;3118
FE;E;1998;D54;3350
FE;E;1998;D55;3564
FE;E;1998;D56;3421
FE;E;1998;D57;3298
FE;E;1998;D58;3887
FE;E;1998;D59;4340
FE;E;1998;D60;4652
FE;E;1998;D61;5124
FE;E;1998;D62;5408
FE;E;1998;D63;5821
FE;E;1998;D64;6513
FE;E;1998;D65;6990
FE;E;1998;D66;7634
FE;E;1998;D67;8323
FE;E;1998;D68;8945
FE;E;1998;D69;9073
FE;E;1998;D70;10019
FE;E;1998;D71;10690
FE;E;1998;D72;11349
FE;E;1998;D73;12090
FE;E;1998;D74;12464
FE;E;1998;D75;13680
FE;E;1998;D76;14558
FE;E;1998;D77;15941
FE;E;1998;D78;17398
FE;E;1998;D79;11212
FE;E;1998;D80;10529
FE;E;1998;D81;9817
FE;E;1998;D82;9772
FE;E;1998;D83;13009
FE;E;1998;D84;19880
FE;E;1998;D85;20545
FE;E;1998;D86;20917
FE;E;1998;D87;19529
FE;E;1998;D88;19748
FE;E;1998;D89;18712
FE;E;1998;D90;17372
FE;E;1998;D91;15398
FE;E;1998;D92;14017
FE;E;1998;D93;11860
FE;E;1998;D94;10134
FE;E;1998;D95;8205
FE;E;1998;D96;6627
FE;E;1998;D97;4942
FE;E;1998;D98;3498
FE;E;1998;D99;2388
FE;E;1998;D100;4385
FE;E;1999;DEC;547266
FE;E;1999;D0;2951
FE;E;1999;D1;653
FE;E;1999;D2;241
FE;E;1999;D3;177
FE;E;1999;D4;122
FE;E;1999;D5;121
FE;E;1999;D6;111
